physicalProgress,financialProgress,plannedProgress,actualProgress,approvedCost,revisedCost,expenditure,progressGap,costEscalation,riskLevel
62.5,57.1,60.3,62.5,824.99,1007.23,515.78,-2.2,22.09,High
85.3,85.1,85.2,85.3,283.43,302.02,135.92,-0.1,6.56,Low
7.4,15.1,11.0,7.4,1725.84,1839.92,950.72,3.6,6.61,Low
77.8,91.0,75.0,77.8,2154.79,2374.79,392.51,-2.8,10.21,Medium
91.1,79.3,99.2,91.1,470.81,590.49,265.14,8.1,25.42,Critical
77.6,81.4,98.7,77.6,2924.72,3256.97,1518.62,21.1,11.36,High
79.6,94.8,97.0,79.6,1816.59,2200.62,161.59,17.4,21.14,High
25.5,13.3,32.0,25.5,851.81,877.62,243.85,6.5,3.03,Low
62.2,60.2,71.2,62.2,786.62,849.63,665.6,9.0,8.01,Low
63.3,54.3,80.4,63.3,2241.56,2351.4,835.06,17.1,4.9,Medium
94.1,98.6,100,94.1,2116.92,2652.29,1502.17,5.9,25.29,Critical
25.6,21.6,23.7,25.6,949.67,1009.78,808.62,-1.9,6.33,Low
83.9,91.8,91.3,83.9,1307.77,1666.62,575.45,7.4,27.44,Critical
28.8,33.4,33.9,28.8,935.68,1099.8,760.85,5.1,17.54,Medium
40.9,60.8,45.1,40.9,1626.67,1671.08,146.48,4.2,2.73,High
14.9,27.6,32.6,14.9,1382.05,1408.45,517.41,17.7,1.91,Medium
94.7,100,100,94.7,2610.18,2619.05,1729.54,5.3,0.34,Low
66.4,60.7,81.1,66.4,1994.69,2061.51,836.87,14.7,3.35,Medium
45.8,61.5,74.3,45.8,937.49,1078.3,189.24,28.5,15.02,Critical
87.1,82.5,100,87.1,1989.06,2352.46,357.86,12.9,18.27,Medium
73.6,85.9,88.4,73.6,1684.99,1685.33,548.52,14.8,0.02,Medium
6.8,22.6,34.5,6.8,2528.66,2762.06,250.94,27.7,9.23,Critical
84.0,72.0,100,84.0,1560.77,1593.23,1087.09,16.0,2.08,Medium
73.9,75.5,75.1,73.9,1739.45,1877.74,1376.89,1.2,7.95,Low
43.1,47.0,47.1,43.1,2243.81,2379.11,706.71,4.0,6.03,Low
94.6,94.9,100,94.6,1649.21,1709.08,397.45,5.4,3.63,Low
35.4,28.5,51.8,35.4,816.61,834.0,478.89,16.4,2.13,Medium
25.6,40.7,52.5,25.6,398.4,426.85,246.46,26.9,7.14,Critical
24.3,42.0,25.7,24.3,1798.92,2054.01,1289.69,1.4,14.18,High
77.7,66.1,81.0,77.7,1406.94,1585.76,628.86,3.3,12.71,Medium
70.6,90.0,89.8,70.6,475.57,533.02,160.94,19.2,12.08,High
82.6,74.3,87.8,82.6,1456.12,1640.46,417.56,5.2,12.66,Medium
27.5,28.0,55.0,27.5,2611.78,3042.98,242.9,27.5,16.51,Critical
94.9,100,100,94.9,2793.83,3505.14,534.64,5.1,25.46,Critical
48.7,47.7,52.8,48.7,364.18,405.59,323.21,4.1,11.37,Medium
28.9,29.8,51.8,28.9,1384.42,1782.03,1240.59,22.9,28.72,Critical
55.0,45.4,75.7,55.0,1030.78,1330.32,559.0,20.7,29.06,Critical
53.8,40.8,75.5,53.8,1835.7,2112.71,1422.32,21.7,15.09,High
19.2,7.0,47.9,19.2,720.31,848.89,449.42,28.7,17.85,Critical
26.2,42.4,27.2,26.2,889.4,1048.07,512.72,1.0,17.84,High
42.7,46.0,59.0,42.7,2817.18,2989.87,1855.85,16.3,6.13,Medium
26.5,35.0,36.6,26.5,1039.99,1138.69,716.64,10.1,9.49,Medium
11.5,31.4,23.6,11.5,2989.07,3054.83,691.02,12.1,2.2,High
28.9,44.7,56.7,28.9,2661.96,2957.17,490.03,27.8,11.09,Critical
80.0,86.4,100,80.0,2964.25,3545.84,167.92,20.0,19.62,High
78.5,86.7,85.4,78.5,2829.0,2943.01,419.02,6.9,4.03,Low
14.6,9.1,29.9,14.6,1893.52,2301.19,422.36,15.3,21.53,High
62.1,64.2,67.8,62.1,2734.94,3429.07,351.31,5.7,25.38,Critical
43.1,28.2,49.2,43.1,2359.13,2809.96,643.25,6.1,19.11,Medium
71.7,71.7,86.9,71.7,227.08,232.21,181.81,15.2,2.26,Medium
86.4,100,100,86.4,1831.03,1912.33,289.9,13.6,4.44,Medium
32.7,45.6,59.4,32.7,2609.97,3313.88,596.55,26.7,26.97,Critical
27.5,39.8,27.9,27.5,2675.58,3001.73,1545.31,0.4,12.19,Medium
18.9,34.2,46.6,18.9,2933.38,3646.78,2344.37,27.7,24.32,Critical
7.2,3.8,28.5,7.2,2806.28,3481.75,2201.4,21.3,24.07,High
78.0,90.6,83.8,78.0,502.67,634.22,391.98,5.8,26.17,Critical
25.0,26.1,48.9,25.0,1054.53,1306.14,256.73,23.9,23.86,High
7.1,3.6,10.5,7.1,2620.19,3380.31,752.67,3.4,29.01,Critical
62.7,82.0,72.9,62.7,1701.4,2180.85,251.88,10.2,28.18,Critical
92.3,100,95.2,92.3,943.31,973.97,395.6,2.9,3.25,Low
70.6,76.8,78.0,70.6,1631.98,1820.64,881.43,7.4,11.56,Medium
27.9,13.0,48.3,27.9,2791.61,3242.46,1846.69,20.4,16.15,High
71.8,69.5,90.9,71.8,395.93,474.84,130.92,19.1,19.93,Medium
33.3,43.5,58.3,33.3,1040.9,1137.5,413.38,25.0,9.28,Critical
41.2,30.7,48.0,41.2,1377.25,1765.77,861.77,6.8,28.21,Critical
86.3,81.8,100,86.3,1734.22,1734.39,509.65,13.7,0.01,Medium
43.7,51.6,59.8,43.7,1501.97,1701.13,347.93,16.1,13.26,Medium
47.6,60.5,74.3,47.6,675.14,692.29,329.56,26.7,2.54,Critical
62.0,75.6,70.1,62.0,2303.19,2767.97,554.94,8.1,20.18,High
22.9,16.5,20.7,22.9,1530.38,1920.47,171.26,-2.2,25.49,Critical
42.3,34.1,60.1,42.3,2149.79,2468.6,553.33,17.8,14.83,Medium
64.0,75.3,61.2,64.0,2356.13,2431.53,969.25,-2.8,3.2,Medium
20.8,23.9,49.4,20.8,340.61,366.09,262.64,28.6,7.48,Critical
46.1,54.5,69.5,46.1,2966.1,3495.85,2543.53,23.4,17.86,High
85.2,95.4,100,85.2,1613.38,2015.43,832.01,14.8,24.92,High
85.7,87.3,100,85.7,925.74,994.43,548.05,14.3,7.42,Medium
73.9,80.8,88.1,73.9,968.87,991.35,283.75,14.2,2.32,Medium
29.5,33.4,37.1,29.5,587.45,628.22,375.88,7.6,6.94,Low
68.6,67.9,67.7,68.6,1719.31,1933.71,388.24,-0.9,12.47,Medium
42.8,48.2,69.7,42.8,2147.46,2699.36,1504.84,26.9,25.7,Critical
39.2,36.5,36.4,39.2,2309.73,2901.02,1987.33,-2.8,25.6,Critical
42.7,46.8,64.4,42.7,1889.11,2014.17,446.79,21.7,6.62,High
44.2,41.0,42.2,44.2,2101.6,2356.52,399.91,-2.0,12.13,Medium
47.1,53.9,48.3,47.1,275.51,308.08,145.95,1.2,11.82,Medium
7.4,0,25.6,7.4,1492.76,1515.3,555.66,18.2,1.51,Medium
24.0,35.6,31.8,24.0,1261.55,1546.16,955.16,7.8,22.56,High
27.7,13.4,27.4,27.7,1710.37,2223.48,594.3,-0.3,30.0,Critical
63.5,71.3,86.3,63.5,2311.85,2970.5,507.35,22.8,28.49,Critical
6.8,0,8.8,6.8,2074.48,2425.48,488.06,2.0,16.92,Medium
68.0,58.9,90.3,68.0,1900.29,2326.72,280.01,22.3,22.44,High
78.7,67.5,100,78.7,271.9,297.35,170.14,21.3,9.36,High
91.2,100,100,91.2,412.79,498.32,240.72,8.8,20.72,High
14.2,29.0,36.7,14.2,1881.15,1949.44,1667.2,22.5,3.63,High
75.4,75.4,83.9,75.4,1237.6,1425.47,420.84,8.5,15.18,Medium
81.5,70.2,100,81.5,2890.21,3441.37,2180.38,18.5,19.07,Medium
68.7,79.4,80.1,68.7,2903.33,3138.5,2139.67,11.4,8.1,Medium
53.4,53.6,66.4,53.4,2246.87,2427.74,1738.98,13.0,8.05,Medium
79.8,95.7,79.7,79.8,882.82,1005.89,502.13,-0.1,13.94,High
39.1,53.9,37.0,39.1,709.15,754.25,516.37,-2.1,6.36,Medium
35.6,45.1,61.7,35.6,973.55,976.47,833.22,26.1,0.3,Critical
12.7,14.8,33.5,12.7,2322.86,2804.16,1391.43,20.8,20.72,High
49.2,37.5,72.4,49.2,820.47,990.72,254.57,23.2,20.75,High
57.3,60.9,69.9,57.3,1391.41,1702.81,460.8,12.6,22.38,High
68.3,62.1,74.2,68.3,537.84,568.93,81.55,5.9,5.78,Low
53.2,44.7,75.4,53.2,805.88,922.97,536.63,22.2,14.53,High
92.9,87.8,100,92.9,481.47,509.49,117.17,7.1,5.82,Low
21.1,24.8,18.6,21.1,968.07,1251.04,503.74,-2.5,29.23,Critical
67.8,83.2,69.0,67.8,1574.46,1986.65,846.99,1.2,26.18,Critical
47.2,38.7,58.7,47.2,343.85,440.92,156.82,11.5,28.23,Critical
79.0,66.6,89.2,79.0,1962.45,1994.05,347.0,10.2,1.61,Medium
55.7,75.5,62.7,55.7,531.66,653.57,300.58,7.0,22.93,High
76.2,79.5,80.6,76.2,1461.44,1655.52,1141.59,4.4,13.28,Medium
94.1,100,100,94.1,1906.97,2330.32,1631.32,5.9,22.2,High
23.7,31.8,27.7,23.7,639.76,673.09,72.81,4.0,5.21,Low
